id_buku;isbn;title;penulis_full;tempat;penerbit;year;sinta_id;_sys_date_processed;category;nama_versi_kepegawaian;nama_versi_akademik;jenis_pegawai;jurusan;fakultas
38569;9786025022128;KIMIA 1;Taslim Ersam...[et al.];Surabaya;Media Bersaudara, CV;2018;28963;2022-11-10 00:07:24;buku ajar;Prof. Hamzah Fansuri, S.Si., M.Si., Ph.D.;Prof. Hamzah Fansuri, S.Si., M.Si., Ph.D.;Dosen;Kimia;Fakultas Sains dan Analitika Data
36208;9786024011499;Karakterisasi Struktur Padatan;Didik Prasetyoko, Hamzah Fansuri, Yatim Lailun Ni'mah, Arif Fadlan;Yogyakarta;Deepublish;2016;28963;2022-11-10 00:07:24;buku referensi;Prof. Hamzah Fansuri, S.Si., M.Si., Ph.D.;Prof. Hamzah Fansuri, S.Si., M.Si., Ph.D.;Dosen;Kimia;Fakultas Sains dan Analitika Data
92375;9786233900171;Pengantar pembelajaran mesin;Penulis Mohammad Isa Irawan;;CV. Pustaka Ilalang;2021;29056;2022-11-10 00:07:24;;Prof. Dr. Drs. Mohammad Isa Irawan, M.T.;Prof. Dr. Drs. Mohammad Isa Irawan, M.T.;Dosen;Matematika;Fakultas Sains dan Analitika Data
43161;9786026715951;Bioinformatika : perspektif matematika pada analisis sekuens dan filogenetika;Oleh Siti Amiroch...[et al.];Lamongan;CV. Pustaka Ilalang;2018;29056;2022-11-10 00:07:24;;Prof. Dr. Drs. Mohammad Isa Irawan, M.T.;Prof. Dr. Drs. Mohammad Isa Irawan, M.T.;Dosen;Matematika;Fakultas Sains dan Analitika Data
96684;9786237060772;Pengolahan sinyal digital;Suwadi, Titiek Suryani;Bandung;Refika Aditama;2020;29086;2022-11-10 00:07:24;;Prof.Dr.Ir. Titiek Suryani, M.T.;Prof.Dr. Ir. Titiek Suryani, M.T.;Dosen;Teknik Telekomunikasi;Fakultas Teknologi Elektro dan Informatika Cerdas
60067;9786025022166;Catatan relawan ITS [sumber elektronis] : sebuah misi kemanusiaan untuk Lombok;Lalu Muhamad Jaelani ... [et al.];;Media Bersaudara, CV;2020;29106;2022-11-10 00:07:24;;Prof. Lalu Muhamad Jaelani, S.T., M.Sc., Ph.D.;Prof. Lalu Muhamad Jaelani, S.T., M.Sc., Ph.D.;Dosen;Teknik Geomatika;Fakultas Teknik Sipil, Perencanaan, dan Kebumian
58707;9786025022104;Pulau poteran: menuju pulau kecil mandiri;Nengah Dwianita Kuswytasari;Surabaya;Media Bersaudara, CV;2017;29106;2022-11-10 00:07:24;;Prof. Lalu Muhamad Jaelani, S.T., M.Sc., Ph.D.;Prof. Lalu Muhamad Jaelani, S.T., M.Sc., Ph.D.;Dosen;Teknik Geomatika;Fakultas Teknik Sipil, Perencanaan, dan Kebumian
58708;9781498700719;Remote Sensing for Sustainability;Bunkei Matsushita, Wei Yang, Lalu Muhamad Jaelani, Fajar Setiawan, Takehiko Fukushima;New York;CRC Press;2016;29106;2022-11-10 00:07:24;;Prof. Lalu Muhamad Jaelani, S.T., M.Sc., Ph.D.;Prof. Lalu Muhamad Jaelani, S.T., M.Sc., Ph.D.;Dosen;Teknik Geomatika;Fakultas Teknik Sipil, Perencanaan, dan Kebumian
48017;9786027430945;SMART CITY: KONSEP, MODEL, & TEKNOLOGI;Bangun Muljo Sukojo... [et al.];Surabaya;Asosiasi Sistem Informasi Indonesia (AISINDO);2019;29377;2022-11-10 00:07:24;lainnya;Ardy Maulidy Navastara, S.T., M.T.;Ardy Maulidy Navastara, S.T., M.T.;Dosen;Perencanaan Wilayah dan Kota;Fakultas Teknik Sipil, Perencanaan, dan Kebumian
96504;9786026814531;Semantic web  dan linked data;Nur Aini Rakhmawati;;Sibuku Media;2015;29400;2022-11-10 00:07:24;;Prof. Nur Aini Rakhmawati, S.Kom., M.Sc.Eng., Ph.D.;Prof. Nur Aini Rakhmawati, S.Kom., M.Sc.Eng., Ph.D.;Dosen;Sistem Informasi;Fakultas Teknologi Elektro dan Informatika Cerdas
61211;9786025171130;Sistem pengaturan dasar;Yoga Alif Kurnia Utama;;Aseni;2018;29468;2022-11-10 00:07:24;;Ir. Hendra Kusuma, M.Eng.Sc.;Dr. Ir. Hendra Kusuma, M.Eng.Sc.;Dosen;Teknik Elektro;Fakultas Teknologi Elektro dan Informatika Cerdas
